1. woofmachine, dawg, borkbork
2. g0ner, k!ckthebucket, d3part
3. lean, sizzurp, c0d3!n
4. broski, bffl, homi3
1. woofboi, borker, floofer
2. de@d, RIP, ded
3. lean, sizzurp, purpledrank
4. broski, homie, bffl
1. d0g: woofm8, barkbro, dawggo
2. d!e: kickbucket, endgame, d3c3ase
3. c0dein3: leanliquid, sizzurp, purpledrank
4. fr13nd: bffl, palzona, brochacho
1. woofmachine, borkdrive, floofer
2. k!ckbucket, b!t3dust, RIPd
3. lean0, c0d3syrup, c0d3inite
4. bffl, bestieboi, br0ski
1. hound0, dawg, woofbeast
2. k!ckbucket, d!sppear, d!3d
3. lean, purpledrank, c0d3!n 
4. bff, broski, h0mi3
1. woofmachine, borker, pupp-a-roo
2. kickbucket, b1t3dust, p@ssaway
3. leanliquid, cod3n3, sizzupsauce
4. palski, mate-o-rama, bfflzone
1. woofmachine, borker, p00ch
2. k!ckbucket, p@ssout, b!t3dust
3. syrup, lean, c0dy
4. best!e, bff, br0ski
1. woofmachine, borker, floofers
2. ded, rip, decease-o
3. lean, purpledrank, sizzurp
4. bffl, homie, broski
1. woofer, borker, furrbaby
2. ded, k!ckbuck3t, g0nezo
3. purpledrank, lean, s!zzurp
4. broski, bffl, m8
1. woof-machine, bork-bork, fur-baby
2. kickbucket, d3cease, RIPville
3. leanjuice, c0dy, c0de1n3
4. broski, squadmate, bffl
1. woofwoof, borkbork, furbaby
2. rip, permadelete, endtask
3. lean, c0d3in3, purpledrank
4. bff, peep, homie.
1. woofmachine, borkbork, pawsitivefuriend
2. kickbucket, RIPinPeace, deaddotoast
3. leanliquid, sizzurpsip, purpledrank
4. bestiebeast, homiehulk, palsquad
1. woofer, borker, floofer
2. yeetlife, d3@th, k!ckbucket
3. lean, c0d3!ne, sizzurp
4. bff, broski, m8
1. woof-machine, borkdrive, dawgy
2. perish'd, d3cease, k!ckbucket
3. leanjuice, cod3in3, codein3sauce
4. palpalooza, bffl, bromigo
1. woofer, borker, f1do
2. k!ckbucket, b!t3dust, p@ssAway
3. lean, s!zzurp, purpdrank
4. broski, bffl, hom!e
1. woofwoof, borkbork, furrball
2. RIP, kickthebucket, meetmaker
3. lean, syrup, purpledrank
4. buddy0, palz, bffl
1. woofer, dawg, borker
2. rip, ded, k!ckbucket
3. c0dein, lean, sizzurp
4. bff, bromigo, homie
1. woofmachine, borkdrive, floofbot
