term,n
lean,60
purpledrank,38
sizzurp,31
s!zzurp,17
purpdrank,16
leanliquid,11
leanjuice,10
c0d3in,10
cod3in3,6
purp,6
syzzurp,6
syrup,6
c0dy,4
c0d3!n3,4
purplesizzurp,3
syzurp,3
c0d3!ne,3
leanmaker,2
leanlover,2
leanlove,2
purple_drink,2
c0d3!n,2
cod3in,2
c0dein,2
c0d3in3,2
c0de1n3,2
cod3n3,1
purpdr@nk,1
c0de!n3,1
purpdrink,1
purple drank,1
c0de,1
purpledr@nk,1
c0d3syrup,1
purpledrink,1
purpledrip,1
c0d3inite,1
c0d3n,1
sizurp,1
sizzupsauce,1
c0d3in3cloud,1
sizzurplove,1
sizzurpsip,1
syrupsipper,1
syrupslurper,1
syrupsource,1
syruptrip,1
c0d33n,1
purp drank,1
p!nkdrank,1
code!ne,1
c0de1ne,1
codein3purple,1
codein3sauce,1
dr4nk,1
drank,1
drankdevotee,1
l3an,1
cod3ina,1
lean0,1
leanbean,1
leaner,1
leanin,1
leanju1ce,1
cod3in3vib3,1
leanl0v3r,1
leanliqu!d,1
cod3!ne,1
leanliquor,1
cod3!n3,1
leanlurv,1
leanluvr,1
leanm3an,1
leanl!fe,1
