term,n
hillbillyheroin,18
oxy,17
oxyc,16
c0d30n3,13
0xyc,12
p!lls,10
end0s,9
oxy80s,8
0xy80,8
c0d0n3,7
h!llb!lly h3r01n,4
endone,4
blues,4
happy-pills,4
end0ne,4
paink!ller,4
0xys,3
oxyc0tt0n,3
hillbilly h3roin,3
h!llb!ll!es,3
oxy80,3
c0dy,3
blu3s,3
hillbilly heroin,3
0x1,3
h!llb!lly,3
c0tt0n,2
p3rc0c3t,2
p3rcs,2
p1llz,2
h!llbillyh3roin,2
p41nk!ll3r,2
c0tton,2
h!llb!llyh3ro!n,2
c0d0n3s,2
p@!nk!ll3r,2
h!llb!llyh3r01n,2
c0d3!n3,2
c0d0ne,2
oxy-c,2
0xyc0tt0n,2
0xyc0d0n,2
hillbillyh,2
0xy30s,2
h!llb!llies,2
0xy,2
oxycontin,2
oxyzilla,1
oxyr0cks,1
oxys,1
,1
oxyco,1
oxycccc,1
oxyc0n,1
oxy80n3,1
oxy0nfire,1
oxc0tt0n,1
oxc0d0ne,1
ox!es,1
oxyboi,1
p1nk5,1
p!llpop,1
p@1nk!ller,1
r0xies,1
pillz,1
percs,1
painp!ll,1
painkillz,1
painkillerz,1
paink!ll@z,1
p@inkillz,1
p@inkiller,1
p@inkillah,1
p@inkill@,1
p@!nkill3rz,1
p!llz,1
p@!nkill3r,1
p@!nk!ller,1
p41nk!ller,1
p3rc30c3t,1
p1nkies,1
narc0tic,1
p1lls4thr1lls,1
p1llpopper,1
p1llp0p,1
p1ll,1
p!nkies,1
ocs,1
happypillz,1
n@rc0,1
c0d0nedragon,1
end0pain,1
end0nes,1
end0,1
cod3inedream,1
cod0n3d,1
chill-pills,1
c0t0n,1
c0n3s,1
c0de!ne,1
c0d30n,1
c0d0neking,1
blueheaven,1
m3d1c,1
blueberries,1
3nd0s,1
30s,1
0xyr0cks,1
0xyk1ller,1
0xyc0n,1
0xy80tt!e,1
0xy30,1
0x!c0tt0n,1
0x!c0d0n3,1
0x!,1
endoc3t,1
endones,1
h!llb!11yh3ro!n,1
h!llb!ll,1
hillbillyhero!n,1
hillbillyh3r0in,1
hillbillygold,1
hillbilly_h3r01n,1
hillbilly her0in,1
hillbilly gold,1
hillb!llyh3roin,1
hillb!llyh3ro!n,1
hillb!llyh3r01n,1
hillb!lli3s,1
0x,1
happypills,1
h1llb1llies,1
h1llb!llyh3r01n,1
h1llb!11y h3r0!n,1
h!llbillyher0in,1
h!llbilly h3roin,1
h!llbilly h3ro!n,1
h!llb!lly h3ro!n,1
h!llb!ll!es-her0in,1
h!llb!ll!3s,1
h!llb!ll!3h3ro!n,1
h!llb!ll!3h3r01n,1
s1lverbull3t,1
