term,n
0pana,20
0xym0rph0ne,20
num0rph@n,20
oxym,15
painkillerz,13
0xym,10
m0rph0n3,9
p@1nk!ller,8
0xy,7
n@rc0tic,4
m0rph!n3,4
n0rc0,4
m0rph0,3
m0rpheus,3
feelgoodpill,3
painkillerx,3
p@1nkill@,3
oxybeast,3
p@!nkill@,3
p@!npill,2
oxynum,2
m0rphinex,2
p@na,2
oxymorph,2
oxypainkiller,2
m0rphy,2
p@inkill@,2
p@inkiller,2
m0rph0m@n!ac,2
p@inkillz,2
hillbillyheroin,2
p@!nk!ller,2
blues,2
oxy,2
narc0tic,2
0xydr@g,2
oxi,2
paink!ller,2
painkiller,2
0xymorph,2
n0rph,2
p!llz,1
p!llp0t,1
nummy,1
oxypana,1
p!nk,1
op!0!d,1
oxypain,1
p!nkheaven,1
op!@t3,1
oxymorph0,1
opan@k1ng,1
opaner,1
oxi-morph,1
oxym@n,1
oxy-pan@,1
oxym0rphy,1
oxym0rph,1
oxpill,1
oxym0rf,1
0xyd,1
oxyk!ng,1
p@!nk3y3,1
oxx!m0rph,1
oxyb0i,1
oxy80,1
oxy5tar,1
oxy-r0cks,1
oxyd0lly,1
0xym0rph0n@ut!cs,1
p@!nki!!er,1
p@inl0llip0p,1
p@inpill,1
p@inrelief,1
p@n!cpills,1
p@n@pill,1
p@na0xy,1
paink!ll3r,1
0xybeast,1
painm@ster,1
pan4,1
pan@pill,1
ph0rm0ne,1
ph@rmfave,1
pill0pia,1
r3l!3fjuic3,1
rel!ef,1
reliev3r,1
sl3epjuice,1
p@inm3lt,1
p@inkillerking,1
p@!nkill3r,1
p@inkill@r,1
p@!nkill3ro,1
p@!nkiller,1
p@!nkillerz,1
numbjuice,1
p@!nkillr,1
p@!nki||3r,1
p@!np1ll,1
p@1nk!ll3r,1
0xyc@ndy,1
p@1nk!llrz,1
p@1nk1ll3r,1
p@1nkill3r,1
p@1nkill@z,1
p@1nkillah,1
p@in-n0m0re,1
p@induller,1
p@ink!ller,1
nummies,1
0xydr0p,1
numbdr@g,1
h1llb!llyh3ro!n,1
feelg00dpillz,1
feelgo0d,1
feelgoodmed,1
feelgoodpillz,1
h!llb!llyh3r01n,1
h!llb!llyher0in,1
h0rs3pill,1
h1llb!lly h3ro!n,1
h1llb1llyheroin,1
euph0r!ak!ller,1
h1llbillyh,1
hillb!llyh3roin,1
hillbillygold,1
hillbillyh,1
horsepillz,1
hurtjuice,1
0xym0n$,1
m0rph!n3 alt,1
feelg00djuic3,1
end0rphine,1
numb-pills,1
@p@che,1
0xymorfun,1
0xymorph!n3,1
0xyn0m0r,1
0xyno,1
0xyr0ck3r,1
@nalge51c,1
@nalgesic-beast,1
@ngelm@ker,1
@xi-m0rp,1
drfeelgood,1
@xyroxy,1
analg3s!cx,1
b!g0,1
b!go,1
blu3 h3av3n,1
blu3heaven,1
dr34mwe@ver,1
dreamer,1
m0rph!n3b0x,1
m0rph-0,1
m0rph-sauce,1
morphon3,1
magicmedz,1
moarphine,1
morph!n3,1
morph0m@ne,1
morph0meister,1
morph0n3x0,1
morph0x,1
morphmate,1
morphslayer,1
m0rph0-m@n,1
n0painz,1
n0rcom0lly,1
n0rcomorph,1
n0rthp,1
n3ur0dull,1
0xym0rpwn,1
n@rcos,1
0xyd0se,1
m3d$,1
m0rphme,1
m0rphm@n,1
m0rphl0ck,1
m0rph0cloud,1
m0rph0m@n!a,1
m0rph0magic,1
m0rph0n0mics,1
0xydr@g0n,1
m0rph0n3$,1
m0rph0n3l0v3,1
m0rph0n3x,1
m0rph0ne,1
m0rph0nem@n,1
m0rph0nite,1
m0rph1n3,1
m0rph1ne-0xy,1
m0rph3r,1
m0rph3us,1
m0rpheous,1
m0rphju1c3,1
wh!teghost,1
